Year,FAR EMB CO2,FAR EMB T Best,FAR EMB T Low,FAR EMB T High,FAR EMB F,FAR GFDL CO2,FAR GFDL T,FAR GFDL F,FAR UKMET CO2,FAR UKMET T,FAR UKMET F,SAR EMB CO2,SAR EMB T Best,SAR EMB T Low,SAR EMB T High,SAR EMB F,SAR MP01GG01 CO2e,SAR MP01GG01 T,SAR MP01GG01 F,SAR CS01GG01 CO2e,SAR CS01GG01 T,SAR CS01GG01 F,SAR GF01GG01 CO2,SAR GF01GG01 T,SAR GF01GG01 F,SAR DK01GG01 CO2e,SAR DK01GG01 T,SAR DK01GG01 F,SAR NC01GG01 CO2e,SAR NC01GG01 T,SAR NC01GG01 F,SAR HC02GG01 CO2,SAR HC02GG01 T,SAR HC02GG01 F,SAR HC01GG01 CO2e,SAR HC01GG01 T,SAR HC01GG01 F,SAR HC01GG02 CO2e,SAR HC01GG02 T,SAR HC01GG02 F,SAR HC01GG03 CO2e,SAR HC01GG03 T,SAR HC01GG03 F,SAR HC01GG04 CO2e,SAR HC01GG04 T,SAR HC01GG04 F,SAR NI01GG01 CO2e,SAR NI01GG01 T,SAR NI01GG01 F,SAR CC01GG01 CO2,SAR CC01GG01 T,SAR CC01GG01 F,TAR EBM CO2,TAR EMB T Best,TAR EMB T Low,TAR EMB T High,TAR EMB F,TAR EH4OPYC_A2 CO2,TAR EH4OPYC_A2 T,TAR EH4OPYC_A2 F,TAR HADCM3_A2 CO2,TAR HADCM3_A2 T,TAR HADCM3_A2 F,TAR CSIRO_A2 CO2,TAR CSIRO_A2 T,TAR CSIRO_A2 F,TAR NCAR-CSM_A2 CO2,TAR NCAR-CSM_A2 T,TAR NCAR-CSM_A2 F,TAR CGCM2_A2 CO2,TAR CGCM2_A2 T,TAR CGCM2_A2 F,TAR CCSRNIES_A2 CO2,TAR CCSRNIES_A2 T,TAR CCSRNIES_A2 F
1880,,0.155855198,,,,,,,,,,,,,,,,288.0065,,,,,,,,,287.6274,,,,,,286.858,,,286.8108,,,286.7482,,,286.5944,,,287.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,,0.1566211,,,,,,,,,,,,,,,,287.8932,,,286.9816,,,,,,287.601,,,,,,286.8233,,,286.7916,,,286.8445,,,286.6997,,,286.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,0.157620462,,,,,,,,,,,,,,,,287.8714,,,286.9482,,,,,,287.5845,,,,,,286.8574,,,286.5793,,,286.851,,,286.7519,,,286.9847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,,0.158619823,,,,,,,,,,,,,,,,287.9172,,,287.0597,,,,,,287.6118,,,,,,286.7015,,,286.7474,,,286.8437,,,286.9285,,,287.0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,,0.159619185,,,,,,,,,,,,,,,,287.9285,,,287.077,,,,,,287.618,,,,,,286.6897,,,286.8419,,,286.9987,,,286.9646,,,287.1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,,0.160618547,,,,,,,,,,,,,,,,287.9484,,,287.071,,,,,,287.7461,,,,,,286.5803,,,286.8641,,,286.9013,,,287.0334,,,287.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,,0.161617908,,,,,,,,,,,,,,,,288.0534,,,287.0887,,,,,,287.7601,,,,,,286.5929,,,286.8679,,,286.7819,,,286.9487,,,287.0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,0.16261727,,,,,,,,,,,,,,,,288.0974,,,287.0426,,,,,,287.6345,,,,,,286.6019,,,286.8924,,,286.8112,,,286.8728,,,286.9906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,0.16697268,,,,,,,,,,,,,,,,287.9761,,,287.0783,,,,,,287.6325,,,,,,286.8682,,,286.9155,,,286.9513,,,287.0132,,,287.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,0.17132809,,,,,,,,,,,,,,,,287.9897,,,287.0744,,,,,,287.6381,,,,,,286.9218,,,286.914,,,286.9515,,,286.935,,,286.9546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
