Year,Manabe_1970_CO2,Manabe_1970_T,Manabe_1970_F,Mitchell_1970_CO2,Mitchell_1970_T,Mitchell_1970_F,Benson_1970_CO2,Benson_1970_T,Benson_1970_F,Rasool_Schneider_1971_CO2,Rasool_Schneider_1971_T,Rasool_Schneider_1971_F,Sawyer_1972_CO2,Sawyer_1972_T,Sawyer_1972_F,Broecker_1975_CO2,Broecker_1975_T,Broecker_1975_F,Nordhaus_1977_CO2,Nordhaus_1977_T,Nordhaus_1977_F,Schneider_Thompson_1981_CO2,Schneider_Thompson_1981_T,Schneider_Thompson_1981_F,Hansen_1981_1_CO2,Hansen_1981_1_T,Hansen_1981_1_F,Hansen_1981_2a_CO2,Hansen_1981_2a_T,Hansen_1981_2a_F,Hansen_1988_A_CO2,Hansen_1988_B_CO2,Hansen_1988_C_CO2,Hansen_1988_A_T,Hansen_1988_B_T,Hansen_1988_C_T,Hansen_1988_A_F,Hansen_1988_B_F,Hansen_1988_C_F,Manabe_stouffer_1993_CO2,Manabe_stouffer_1993_T,Manabe_stouffer_1993_F,FAR_EBM_CO2,FAR_EBM_Best_T,FAR_EBM_Low_T,FAR_EBM_High_T,FAR_EBM_Best_F,FAR_EBM_High_F,FAR_EBM_Low_F,SAR_EBM_CO2,SAR_EBM_Best_T,SAR_EBM_Low_T,SAR_EBM_High_T,SAR_EBM_Best_F,SAR_EBM_High_F,SAR_EBM_Low_F,TAR_EBM_CO2,TAR_EBM_Best_T,TAR_EBM_Low_T,TAR_EBM_High_T,TAR_EBM_Best_F,TAR_EBM_High_F,TAR_EBM_Low_F,AR4_MMM_CO2,AR4_MMM_Best_T,AR4_MMM_Low_T,AR4_MMM_High_T,AR4_MMM_Best_F,AR4_MMM_Low_F,AR4_MMM_High_F
1880,,,,,,,,,,,,,,,,293,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.155855198,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,293.1,0.001,0.001825627,,,,,,,,,,,,,,,,,,,,,,,,,,0.1566211,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,293.2,0.002,0.003650631,,,,,,,,,,,,,,,,,,,,,,,,,,0.157620462,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,293.3,0.003,0.005475013,,,,,,,,,,,,,,,,,,,,,,,,,,0.158619823,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,293.4,0.004,0.007298773,,,,,,,,,,,,,,,,,,,,,,,,,,0.159619185,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,293.5,0.005,0.009121912,,,,,,,,,,,,,,,,,,,,,,,,,,0.160618547,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,293.6,0.006,0.010944429,,,,,,,,,,,,,,,,,,,,,,,,,,0.161617908,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,293.7,0.007,0.012766326,,,,,,,,,,,,,,,,,,,,,,,,,,0.16261727,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,293.8,0.008,0.014587603,,,,,,,,,,,,,,,,,,,,,,,,,,0.16697268,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,293.9,0.009,0.01640826,,,,,,,,,,,,,,,,,,,,,,,,,,0.17132809,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,294,0.01,0.018228297,,,,,,,,,,,,,,,,,,,,,,,,,,0.1756835,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,294.1,0.011,0.020047716,,,,,,,,,,,,,,,,,,,,,,,,,,0.18003891,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,294.2,0.012,0.021866515,,,,,,,,,,,,,,,,,,,,,,,,,,0.18439432,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,294.3,0.013,0.023684697,,,,,,,,,,,,,,,,,,,,,,,,,,0.18874973,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,294.4,0.014,0.025502261,,,,,,,,,,,,,,,,,,,,,,,,,,0.19310514,,,,,,,,,,,,,,,,,,,,,,,,,,
